id_grupo_pesquisa,codigo,base_pesquisa,home_page,id_coordenador,coordenador,area_conhecimento_cnpq,situacao
125956652,GED465-17,NEURORREABILITAÇÃO,Sem home page,21732,TANIA FERNANDES CAMPOS,Fisioterapia e Terapia Ocupacional,EM CONSOLIDACÃO
97713120,GEE338-13,"NÚCLEO DE ANÁLISE ECONÔMICA MULTISSETORIAL, ESTRATÉGICA E CONJUNTURAL - NEMEC",Sem home page,26268,ANDRE LUIS CABRAL DE LOURENCO,Economia,CONSOLIDADO
42,GCE041-00,Núcleo de Economia Aplicada e Conjuntura Econômica - NEAC,Sem home page,5758555,DIEGO DE MARIA ANDRE,Economia,CONSOLIDADO
113351089,GEF503-19,Núcleo de Estudos e Extensão para o Desenvolvimento do Seridó,Sem home page,5756616,MARCOS ADLLER DE ALMEIDA NASCIMENTO,Administração,EM CONSOLIDACÃO
132712056,GEE491-18,Núcleo de Estudos em Economia e Políticas para o Desenvolvimento Rural,Sem home page,5758588,THALES AUGUSTO MEDEIROS PENHA,Economia Agrária,EM CONSOLIDACÃO
126,GCC104-01,NÚCLEO DE ESTUDOS EM PSICOLOGIA HISTÓRICO-CULTURAL,Sem home page,25980,HERCULANO RICARDO CAMPOS,Psicologia,CONSOLIDADO
114304598,GEB413-16,NÚCLEO DE ESTUDOS ENERGÉTICOS EM REJEITOS NATURAIS,Sem home page,21730,ADEMIR OLIVEIRA DA SILVA,Multidisciplinar,EM CONSOLIDACÃO
132486440,GED490-18,Núcleo de Estudos e Pesquisas em Dermatologia e Estomaterapia (NEPeDE),Sem home page,5755511,ISABELLE KATHERINNE FERNANDES COSTA,Enfermagem Médico-Cirúrgica,EM CONSOLIDACÃO
95064889,GED324-13,Núcleo de Estudos e Pesquisas em Enfermagem Clínica - (NEPEC),Sem home page,5753624,ALLYNE FORTES VITOR,Enfermagem,CONSOLIDADO
133131429,GED534-19,Núcleo de Estudos e Pesquisas em Enfermagem em Nefrologia (NEPEN),Sem home page,5757834,ANA ELZA OLIVEIRA DE MENDONCA,Enfermagem Médico-Cirúrgica,EM CONSOLIDACÃO
114225267,GED391-16,"Núcleo de Estudos e Pesquisas em Urgência, Emergência e Terapia Intensiva (NEPET)",Sem home page,5757048,DANIELE VIEIRA DANTAS,Enfermagem,EM CONSOLIDACÃO
